,flat_price,Комнат,Площадь,Жилая,Кухня,Этаж,Ремонт,Тип сделки,Лет в собственности,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Количество квартир,latitude,longitude,Вид из окон,Тип перекрытий,Горячее водоснабжение,Количество собственников,Мусоропровод,Несовершеннолетние собственники,Прописанные несовершеннолетние,Количество балконов,Тип фундамента,Балкон,Количество лифтов,Грузовой лифт,Высота потолков,price_stats,Детская площадка,Перепланировка,Газ,Спортивная площадка,Год ввода в эксплуатацию,Количество подъездов,Наименьшее количество этажей,Предоплата,Залог,Класс энергоэффективности,Прописано,Коммунальные платежи,Холодное водоснабжение,Комнат в квартире,Площадь комнаты,Теплоснабжение,Санузел,Энергоснабжение
95,13 200 000,1,"36,3","13,7",13,19,Евро,Свободная продажа,,2022,Монолитный,,22,есть,,55.863833,37.53393},на,Железобетонный,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
96,17 600 000,2,"58,6",38,"12,9",3,,Свободная продажа,,2011,Панельный,П-44Т,17,есть,,55.877733,37.612919,,Железобетонный,,,,,,,,нет,1,,,,,,,,,,,,,,,,,,,,,
97,9 200 000,1,"44,7",,10,3,,,,2015,Монолитный,ар-1/12,3,,,55.519631,37.395275,,Железобетонный,,,,,,1,Сплошной,,,,,,,,есть,,,,,,,,,,,,,,,
98,28 000 000,4,80,"56,5",6,1,,Свободная продажа,,1965,Железобетон,01-пз индивидуальный проект,9,есть,,55.731592,37.537479,,Железобетонный,,,,,,,,нет,1,,,,,,,,,,,,,,,,,,,,,
99,16 000 000,2,"38,1","24,5","6,3",3,Дизайнерский,Свободная продажа,,1973,Кирпичный,II-29,9,есть,,55.735713,37.681703,,Железобетонный,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,9 700 000,1,"34,3","15,9","10,5",2,Отсутствует,Свободная продажа,,2022,Монолитный,,14,есть,1179,55.570624,"37.4872},",на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9 900 000,1,35,15,10,19,Хороший,Свободная продажа,,2018,Монолитный,,20,,340,55.879909,37.596911,,Железобетонный,Центральное,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
102,11 650 000,3,60,,"8,9",5,,,,1977,Панельный,1-515-5,9,есть,,55.821846,37.871508,,Железобетонный,,,есть,,,1,,,,,,,,,есть,,,,,,,,,,,,,,,
103,15 000 000,1,36,"13,3","11,8",5,Требует ремонта,Свободная продажа,,2023,Монолитный,,21,,,55.784607,37.495186,на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,14 500 000,1,"36,9","11,2","17,1",10,Евро,Свободная продажа,,2022,Панельный,,16,,142,55.608119,37.409064,во,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8 700 000,1,"36,7","17,4","11,3",7,Косметический,Свободная продажа,,2019,Монолитный,,17,есть,,55.522898,37.514266,,Железобетонный,Центральное,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
106,8 500 000,2,"34,1",18,10,18,косметический,Свободная продажа,,2012,Монолитный,01-пз индивидуальный проект,25,есть,258,55.571505,37.485834,во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,125 000 000,4,"159,2",121,20,3,Отсутствует,Свободная продажа,,2021,,,6,,44,"55.7283,""",".5722},""l",на,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20 900 000,3,76,40,11,5,Дизайнерский,Свободная продажа,,2001,Панельный,ПД-4,16,есть,,55.568181,37.569701,,Железобетонный,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
109,19 978 179,1,50,30,10,8,Евро,Свободная продажа,Больше пяти,2014,Монолитный,II-14,23,есть,,55.608816,37.535403,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,8 100 000,1,37,"15,6","11,8",6,Косметический,Свободная продажа,,2020,Монолитный,,14,,650,55.501875,37.522046,на,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
